a-u-ma tryakṣaraṃ saṃkhyaṃ | JñS_26.11s-c
prāṇadravyarakṣaṇe ca | Slo_22s-b
prāṇāyāmair dahed doṣān | VS_21s-a
prāṇāyāmair doṣaṃ dagdhvā | VS_appendix-21s-a
prāṇināṃ rūpabhedāś ca | VS_07s-c
prāptaṃ phalaṃ yat tad anaihikasya | Slo_41s-d
phalatarumuditānāṃ ratnabhir vānarāṇāṃ | Slo_36s-b
baṇigranis tu bhāṇḍakṛd | Slo_28s-a
baṇijaḥ padajātayaḥ | Slo_28s-b
bandhur apy ahitaḥ paraḥ | Slo_51s-b
bālaḥ strī garbhiṇī gauś ca | VS_15s-a
bālavṛddhaś ca vadhyate | Slo_70s-b
bālo yuvā ca vṛddhaś ca | Slo_35s-a
buddhir asya na cālyate | VS_02s-d
brahmavadhaḥ surāpānaṃ | Slo_71s-a
brāhmaṇī brāhmaṇo nṛpaḥ | VS_15s-b
brāhmaṇaiś cāpi pūjyate | Slo_56s-d
brāhmaṇo vā manuṣyāṇām | Slo_01s-a
brāhmyaṃ vāyavyam eva ca | VS_16s-b
brāhmyaṃ vai mantrataḥ snānaṃ | VS_17s-c
brāhmyaṃ vai mantrataḥ snānaṃ | VS_appendix-17s-c
bhajate yas tu mātaram | Slo_72s-b
bhasma pracaṇḍo dahano narake yathātra | VS_32s-b
bhasma surāṃ ca bhakṣyaṃ ca | VS_28s-c
bhasmakīrṇaṃ vācāśāstaṃ | VS_20s-c
bhāryāgatiś ca kuṭilā pariśaṅkanīyā | Slo_61s-c
bhāryābhujaṅgapāśasya | Slo_54s-a
bhāvānte 'pi prakṛtivikṛtir jāyate nottamānām | Slo_75s-d
bhuktimuktivarapradam | VS_01s-b
bhuṃkte janmani-janmani | Slo_35s-d
bhuñjanti catvāro narāḥ | Slo_38s-b
bhūkrimibhūkīṭamāṃsaṃ | VS_07s-a
bhūpālo balakośavāhanacamūḥ saṃkīrṇamantryanvitaḥ | Slo_18s-a
bhūyān satkulaṃ rūpaṃ śīlavibhavaḥ śrīmān tapasvī pumān | VS_36s-a
bhṛtyahīno nṛpo loke | Slo_56s-c
bhojyam anindyaṃ munīnām | VS_20s-d
bhrūṇahā puruṣaghnaś ca | Slo_69s-a
matsyasya kumudasya ca | Slo_73s-b
madhu viṣakusumebhyo jāyate pathyam etat | Slo_25s-a
manuṣye śatam eva ca | Slo_08s-b
mantrī tyajed dhi dūrataḥ | Slo_42s-d
mahāpātakam ucyate | Slo_71s-d
mahāphalam avāpnoti | Slo_04s-c
mahiṣarudhiramāṃsāt kṣīram utpadyate hi | Slo_25s-b
māṃsī pittī kujihvāṅgur | Slo_11s-c
mādayanti na cetāṃsi | Slo_21s-c
mānasaṃ pārthivaṃ caiva | VS_16s-c
mārjāro mūṣikas tathā | VS_06s-b
mitravat ṣoḍaśavarṣa | Slo_48s-c
mithyā cerṣyā ca hiṃsā ca | VS_34s-c
miśrāṇi bhojanāni ca | VS_appendix-20s-b
mukhaṃ padmadalākāraṃ | Slo_34s-a
mukhasya vimalaṃ dhanam | Slo_74s-b
munimadhye tu tattvajñaḥ | Slo_19s-c
mūḍhasya santoṣa evaṃ latābhaḥ | Slo_63s-b
mūtribhinnoṣṭhabadhirāḥ | Slo_11s-d
mṛgacāṇḍālo gardabhaḥ | Slo_44s-b
mṛgayāhvānasaktatā | VS_35s-b
mṛgāṇāṃ narakaṃ khagaḥ | Slo_13s-d
mṛdutā ca yamā daśa | VS_24s-d
mṛdutā ca yamā daśa | VS_appendix-24s-d
yajñaśatād vai paramo 'pi putraḥ | Slo_06s-c
yajñopavītaṃ pratibandhakaraṃ bhuvi syād | VS_32s-a
yat karoti śubhāśubham | Slo_35s-b
yathā caturbhiḥ kanakaṃ parīkṣitaṃ | Slo_80s-a
yathā badarakaṇṭakāḥ | Slo_53s-d
yathā bhāskaracandrayor | VS_27s-a
yadā rakṣen nu paṇḍitaḥ | VS_02s-b
yadi satyā bhaven nārī | Slo_23s-c
yamā rudreṇa bhāṣitāḥ | Slo_15s-d
yamā rudreṇa bhāṣitāḥ | VS_29s-d
yamā rudreṇa bhāṣitāḥ | VS_03s-d
yamāṃś ca niyamāṃś caiva | VS_02s-a
yaś codgṛhṇāti talliṅgām | Slo_72s-c
yuvatī ca rajasvalā | Slo_60s-b
ye paṭhanti dvijātayaḥ | VS_25s-b
ye vyatītāḥ svakarmabhyaḥ | Slo_30s-a
ye vyatītāḥ svakarmabhyaḥ | VS_37s-a
yo dharmaśīlo jitamānaroṣo | Slo_16s-a
yo yo hi gopāyati pāśupataṃ na śīlam | VS_32s-d
yogī niṣkalo janmani trisamayād īśālayavyāptaye | VS_36s-d
rāgo dveṣa iti smṛtāḥ | VS_33s-b
rājapriyatvaṃ sujanapriyatvaṃ | Slo_37s-c
rājavat pañca varṣeṣu | Slo_48s-a
rājārevyartito yudhaṃ tu samare nonābhimāno 'hataḥ | Slo_18s-b
rājñāṃ daṇḍavidhir balaṃ | Slo_57s-c
rūpayauvanasampannā | Slo_24s-a
rogakukṣir vigantikaḥ | Slo_12s-b
lalāṭāj jāyate vipraḥ | Slo_78s-a
lālanād bahavo doṣās | Slo_49s-a
lālanād bahavo doṣās | VS_12s-a
lālanād bahavo doṣās | VS_appendix-12s-a
vacanāni punaḥpunaḥ | Slo_39s-b
vacaś candanaśītalam | Slo_34s-b
vapur ākhyāti bhojanam | Slo_81s-d
*vartate sthāvarajaṅgamam | Slo_76s-d
vādānāṃ bahuvākyānāṃ | Slo_39s-a
vāyavyaṃ tu gavāṃ rajaḥ | VS_17s-d
vāyavyaṃ tu gavāṃ rajaḥ | VS_appendix-17s-d
vārtāyukto gṛhopetaḥ | Slo_27s-c
vidyā sahasraguṇitā pariśaṅkanīyā | Slo_61s-a
vidyādānam anantakam | Slo_67s-d
vidyāpārago medhāvī śubhamatiḥ puṇyaḥ kṣamādhairyavān | VS_36s-b
vidyāvinīto na paropatāpī | Slo_16s-b
vidyāsnātaḥ paraḥ snātaḥ | VS_19s-a
vidyāsnātaḥ paraḥ snātaḥ | VS_appendix-19s-a
vidyāhīnā na śobhante | Slo_24s-c
viparītāṃ vigaṇayya cātmanaḥ | Slo_17s-b
viprāḥ śūdravad ācaran | VS_37s-d
vimārgagāḥ sarvajanair vivarjitā | VS_13s-c
vimārgagāḥ sarvajanair vivarjitā | VS_appendix-13s-c
virūpātyantakartṛkā | Slo_55s-b
viśālakulasaṃbhavāḥ | Slo_24s-b
viṣayān pratyāhāreṇa | VS_21s-c
viṣād apy amṛtaṃ grāhyam | Slo_26s-a
viṣiṇāṃ naramāraṇe | Slo_14s-d
viṣṇur gopaḥ surendraś capalataragatiḥ śaṅkaro nīlakaṇṭhaḥ | Slo_47s-c
vṛddhasya taruṇī viṣam | Slo_59s-d
vṛddhā dhanavatī strī ca | Slo_55s-a
vedahīno 'pi vā dvijaḥ | Slo_56s-b
vaiśyaḥ kṛṣīvalaḥ kāryo | Slo_27s-a
vyālānāṃ narakaṃ daṃṣṭrī | Slo_14s-b
vratopavāsamaunaṃ ca | VS_23s-c
vratopavāsamaunaṃ ca | VS_appendix-23s-c
śatruvidyāgnirogeṣu | Slo_50s-c
śarvarīdīpakaś candraḥ | Slo_52s-a
śavakavyaṃ na bhakṣyaṃ ca | VS_09s-c
śavasaṃsparśanaṃ bhavet | VS_09s-d
śastraghno dārātikramaḥ | Slo_32s-b
śāntajīvitasātmakam | VS_26s-d
śārdūlaś chinnapādo 'pi | Slo_31s-c
śāstrajñaḥ kulasampannas | Slo_20s-a
śāstran tadāpīva vaśān prakāśāt | Slo_63s-a
śikhājihvāśivadvāraṃ | VS_09s-a
śiro vā sarvagātreṣu | Slo_01s-c
śilāyāṃ kumudaṃ bhavet | Slo_23s-d
śuddhir āhāralāghavam | Slo_15s-b
śuśrūṣā hi balaṃ strīṇām | Slo_57s-d
śūdras tu pādajas tathā | Slo_78s-d
śūdras tu vāṇijyakriyaḥ | Slo_28s-d
śūratvam ārogyaṃ ratir avadyā | Slo_37s-a
śaucam avyavahārikam | VS_appendix-04s-b
śaucam āhāralāghavam | VS_04s-b
śaucam āhāralāghavam | VS_31s-b
śaucam ijyā tapo dānaṃ | VS_23s-a
śaucam ijyā tapo dānaṃ | VS_appendix-23s-a
śaucam indriyanigrahaḥ | VS_22s-b
śaucam indriyanigrahaḥ | VS_appendix-22s-b
śmaśāne mitrabāndhavāḥ | Slo_10s-b
śraddhayā sahitaṃ kṛtam | Slo_04s-b
śrutena śīlena guṇena karmaṇā | Slo_80s-d
śvānayonau prasūya tu | Slo_68s-c
ṣaḍ ete hy ātatāyinaḥ | Slo_32s-d
ṣaḍvidhaṃ snānam ucyate | VS_16s-d
sa eva puruṣo mataḥ | Slo_21s-d
sa koṭare kumbha matonyavetti | Slo_63s-c
sa yukto nagaraṃ gataḥ | Slo_19s-d
saṃsargajā doṣaguṇā bhavanti | Slo_45s-d
saṃsthitā ripavaḥ sarve | VS_33s-c
satyaṃ vrataṃ tapo vāpi | VS_26s-a
satyam avyāvahārikam | VS_03s-b
satyam avyāvahārikam | VS_29s-b
sadyaḥ gaṇitrīgaṇane śatadoṣadaṇḍo | VS_32s-c
samam abrāhmaṇe dānaṃ | Slo_03s-a
saraḥśatād vai paramo 'pi yajñaḥ | Slo_06s-b
saroruhaṃ yathā bhṛṅgaś | Slo_83s-c
sarvaṃ kaniṣṭhamāṃsakam | VS_07s-d
sarvacāṇḍālo durjanaḥ | Slo_44s-d
sarvam acokṣamāṃsakam | VS_05s-d
sarvam acokṣamāṃsakam | VS_06s-d
sarvam acokṣamāṃsakam | VS_08s-d
sarvalokahitārthāya | VS_01s-c
sarvalokāvahelitam | VS_07s-b
sarve pañca caturdaśa | VS_34s-d
salilaughena vāruṇam | VS_appendix-17s-b
sahasraguṇitaṃ vipre | Slo_03s-c
sādhane niyataṃ bhasma | Slo_05s-d
siṃhākṛtī raṇamadhye | Slo_19s-a
sukṛtaṃ duṣkṛtaṃ caiva | Slo_10s-c
sukhasyānantaraṃ duḥkhaṃ | Slo_76s-a
suputraḥ kuladīpakaḥ | Slo_52s-d
surā sarasvatī lakṣmī | Slo_21s-a
surāsut kṛmidāhaś ca | Slo_43s-a
surāsutkṛmidāhaś ca | VS_11s-a
suvarṇapuṣpāṃ pṛthivīṃ | Slo_38s-a
suvarṇasteyam eva ca | Slo_71s-b
suśīlinaḥ sarvajanaughasaṃstutāḥ | VS_14s-c
suśīlinaḥ sarvajanaughasaṃstutāḥ | VS_appendix-14s-c
sūkṣmādṛśyāni bhasmanā | VS_appendix-20s-c
sūryas tīkṣṇaḥ śaśāṅkaḥ śaśamalinatanuḥ sāgaras tiktatoyaḥ | Slo_47s-b
strīṇāṃ ca kuṭilā gatiḥ | Slo_23s-b
strīpānadyūtasaktatvaṃ | VS_35s-a
strīmadhye madhuraṃkathaḥ | Slo_19s-b
strīratnaṃ duṣkulād api | Slo_26s-d
strīṣu vivāhakāle tu | Slo_22s-c
strīsutaiḥ śūdrabālakaiḥ | VS_09s-b
snātaś ca niyamair vrataiḥ | VS_19s-b
snātaś ca niyamair vrataiḥ | VS_appendix-19s-b
snānaṃ ca niyamā daśa | VS_23s-d
snānaṃ ca niyamā daśa | VS_appendix-23s-d
svadāratuṣṭaḥ paradāravarjī | Slo_16s-c
svargacyutānāṃ kila cihnam etat | Slo_37s-d
svaśarīre tu pañcamāḥ | VS_33s-d
svāṃ putrīṃ bhajate yas tu | Slo_72s-a
svādhyāyopasthanigrahaḥ | VS_23s-b
svādhyāyopasthanigrahaḥ | VS_appendix-23s-b
hiṃsā balam anāryāṇāṃ | Slo_57s-a
hitam āranyaṃ auṣadham | Slo_51s-d
hṛdayaṃ kartrasaṃyuktam | Slo_34s-c
hṛdayaṃ cakṣur ākhyāti | Slo_81s-c
hṛdayaṃ na vivarjitam | VS_27s-d
hrīr vidyā satyam akrodho | VS_22s-c
hrīr vidyā satyam akrodho | VS_appendix-22s-c
