aṃśaṃ śūdrāsuto haret | Manu_9.151d
atyanyāyamatidroham | Ang_1.98a
atyarthaṃ vedayaṃś caiva | YamS-s_2.57a
atyalpam atibhūri ca | Kāty_173b
atyalpam atibhūri ca | Kāty_188b
atyārāt parakuḍyasya | BrhS_1.19.49c
atyucchritaṃ tathātmānaṃ | Manu_7.170c
atyutkrāntipravṛttasya | Ang_1.295a
atyuṣṇaṃ sarvam annaṃ syād | Manu_3.236a
atra kecitpunaḥ procuḥ | Ang_1.983c
atra gāthā vāyugītāḥ | Manu_9.42a
atra pitaro 'mutra ca | Ang_1.855a
atra purvaś caturvargo | BrhS_1.15.22a
atra viṣṇurmataṃ svasya | Ang_1.997a
atra saṃskāraśabdataḥ | Ang_1.141d
atra sākṣī tvam asmākam | BrhS_1.5.12c
atrānuktairmahākāla | Ang_1.844a
atrāham amukaḥ sākṣī | YajñS_2.87c
atrer viṣṇoś ca saṃvartād | ParS_1.13c
atraiva paśavo hiṃsyā | Manu_5.41c
atraiva paśavo hiṃsyā | ViS_51.64c
atraiva pitṛyajñaśca | Ang_1.615a
atroktāḥ kila karmaṇi | Ang_1.818b
atha kāryavipattis tu | Kāty_609a
atha cet pratibhūr nāsti | Kāty_117a
atha cet sa dvibhāryaḥ syān | Kāty_908a
atha ced anṛtaṃ brūyuḥ | NarS_v11.7a
atha cen mavidyukto | YamS-182v_3.39a
atha tatkartṛto 'khilam | Ang_1.430d
atha trayāṇāṃ vakṣyāmi | Ang_2.1.2a
atha daivavisaṃvādāt | Kāty_456a
atha pañcatvam āpanno | BrhS_1.6.53a
atha pañcatvam āpanno | Kāty_285a
atha putrasya pautreṇa | Manu_9.137c
atha putrasya pautreṇa | ViS_15.46c
atha pracchannapāpānāṃ | NarS_p19.57c
atha prāg eva dattā syāt | Kāty_649a
atha bhavaty eva pāpam | YamS-s_2.74c
atha mūlam anāhāryaṃ | Manu_8.202a
atharvāṅgirasaḥ paṭhan | YajñS_1.44b
atharvāṅgirase tathā | YajñS_1.313d
atha vased yadā rātrāv | YamS-99v_65a
athavā kālaniyamo | NarS_v1.152a
atha vā kitavo rājñe | Kāty_939a
athavā taṃ triyambakam | Ang_1.837b
athavānumato yaḥ syād | NarS_v1.174a
athavā pañcasaṃkhyayā | Ang_1.680b
atha vāpy abhyasan vedaṃ | YajñS_3.204a
athavā brāhmaṇās tuṣṭāḥ | ParS_6.54c
athavā vāmadaivyena | ParS_11.18c
atha vā syāc chikhājaṭaḥ | Manu_2.219b
atha viṃśativarṣāṇi | Kāty_300a
athavaitaddine tu yaiḥ | Ang_1.617d
atha śaktivihīnaḥ syād | NarS_v1.112a
atha sarpeṇa daṣṭo vā | NarS_v11.32c
atha svahastenārūḍhas | Kāty_370a
athāto dravyaśuddhis tu | ParS_7.1a
athāto yamadharmasya | YamS-182v_1.1a
athāto himaśailāgre | ParS_1.1a
athāto hy asya dharmasya | YamS-78v_1a
athāvedya prayuktas tu | Kāty_763c
athopagamayed enaṃ | NarS_v5.30c
athopapātakāścintyās | Ang_2.12.9a
atho vā rajatānvitaiḥ | Manu_3.202b
adagdhaḥ śuddhim āpnuyāt | YajñS_2.107b
adagdhaḥ sarvato yas tu | NarS_p20.20c
adagdhaś cec chuddhim iyād | BrhS_1.8.79c
adagdho yo vibhāvyate | NarS_p20.21b
adaṇḍaṃ taṃ visarjayet | Kāty_826d
adaṇḍyā garbhiṇī gauś ca | NarS_v11.29c
adaṇḍyān daṇḍayan rājā | BrhS_1.1.77a
adaṇḍyān daṇḍayan rājā | Manu_8.128a
adaṇḍyā hastino 'śvāś ca | NarS_v11.29a
adaṇḍyo mucyate rājñā | Manu_8.202c
adaṇḍyau ca prakīrtitau | NarS_v15-16.21b
adatḥṇāṃ ca jānatām | Ang_2.6.14b
adattaṃ ṣoḍaśātmakam | NarS_v4.03d
adattatyaktavikrītaṃ | Kāty_614c
adattaṃ tad api smṛtam | NarS_v4.10d
adattaṃ tu bhayakrodha | NarS_v4.08a
adattabhoktā daṇḍyaḥ syāt | Brh_1.14.18a
adattasya ca kathyate | BrhS_1.14.1d
adattādānanirataḥ | YajñS_3.136a
adattādāyako daṇḍyas | NarS_v4.11c
adattānām upādānaṃ | Manu_12.7a
adattāny agnihīnasya | YajñS_1.160c
adattāny upayuñjāna | Manu_4.202c
adatte 'nyatra samayān | NarS_v8.10c
adatte 'rthe 'khilaṃ bandhaṃ | BrhS_1.10.42c
adattvā tu mṛte dāpyas | Kāty_566c
adattvā tu mṛte dāpyas | Kāty_654c
adattvā tu ya etebhyaḥ | Manu_3.115a
adattvā yas tu etebhyaḥ | ViS_67.40a
adattvaiva diśaṃ vrajet | Kāty_507b
adadat kārayitvā tu | NarS_v6.7c
adadad dhi samāpnoti | YajñS_2.36c
adadad yācyamānas tu | NarS_v1.101c
adarśanāśrāvitābhyāṃ | BrhS_1.6.56c
adarśane vṛścikasya | Ang_1.714a
adarśayaṃ sa taṃ tasmai | BrhS_1.10.77c
adarśayan sa taṃ tasmai | Kāty_535c
adarśayan sa taṃ tasya | Manu_8.158c
adarśayitvā tatraiva | Manu_8.155a
adātari punar dātā | Manu_8.161a
adātā karṣakaś caiva | ParS_2.10a
adāyikaṃ rājagāmi | Kāty_931a
adāsaṃ dāsajīvanam | Manu_10.32b
adāsaṃ prītamānasaḥ | NarS_v5.40b
adāsa iti coktvā triḥ | NarS_v5.41c
aditsaṃs tyāgam arhati | Manu_10.113d
adīyamānā bhartāram | Manu_9.91a
adīrghasūtraḥ smṛtimān | YajñS_1.310a
aduḥkhaṃ kurvann amṛtaṃ saṃprayacchan | ViS_30.47b
aduṣṭaṃ va rtvijaṃ yājyo | NarS_v3.09c
aduṣṭaṃ dūṣayan vādī | BrhS_1.5.21c
aduṣṭam eva kāle tu | Kāty_686c
aduṣṭaś ced varo rājñā | NarS_v12.32c
aduṣṭasyaiva yo doṣān | Kāty_774a
aduṣṭāṃ yoṣitaṃ hatvā | Kāty_806c
aduṣṭāṃ tu tyajan daṇḍyo | YajñS_1.66c
aduṣṭām utsṛjed varaḥ | NarS_v12.35b
aduṣṭā saṃtatā dhārā | ParS_7.35a
aduṣṭās te tu yad brūyuḥ | BrhS_1.7.51a
aduṣṭās te tu yad brūyuḥ | BrhS_1.19.39a
adūṣitānāṃ dravyāṇāṃ | Manu_9.286a
adūṣyaṃ caiva viprendraṃ | YamS-182v_3.40c
adṛṣṭam adbhir nirṇiktaṃ | Manu_5.127c
adṛṣṭam adbhir nirṇiktaṃ | ViS_23.47c
adṛṣṭāśrāvitaṃ ca yat | BrhS_1.6.47b
adṛṣṭāśrāvitaṃ ca yat | Kāty_292b
adeyaṃ syād ato 'nyathā | BrhS_1.14.7d
adeyaṃ syād ato 'nyathā | Kāty_640d
adeyaṃ cocyate 'dhunā | BrhS_1.10.102d
adeyadeyadattānām | BrhS_1.14.1c
adeyaṃ tat sutasya tu | BrhS_1.10.114d
adeyam atha deyaṃ ca | NarS_v4.02a
adeyaṃ pratyanantaram | BrhS_1.11.10d
adeyādikam ākhyātaṃ | BrhS_1.15.1a
adeyāny āhur ācāryā | NarS_v4.05c
adeśakāladattāni | BrhS_1.8.16a
adeśakāladattāni | Kāty_437a
adeśakāladṛṣṭatvād | NarS_p19.17c
adeśakālasaṃbhāṣaṃ | YajñS_2.284c
adeśyaṃ yaś ca diśati | Manu_8.53a
adaivaṃ pārvaṇaśrāddhaṃ | Ang_1.876c
adaivaṃ bhojayec chrāddhaṃ | Manu_3.247c
adaivaṃ bhojayec chrāddhaṃ | YamS-99v_81c
adaivikāni ca punas | Ang_1.681c
adaivikāni proktāni | Ang_1.683c
adbhiḥ kurvīta kevalam | Ang_2.11.3b
adbhiḥ khāni ca saṃspṛśet | Manu_2.53d
adbhiḥ paryuṣitāni ca | BrhS_1.8.56d
adbhiḥ prakṣālanaṃ proktam | ParS_5.6c
adbhiḥ prāṇān upaspṛśet | Manu_4.143b
adbhiḥ śaucaṃ vidhīyate | Manu_5.118d
adbhir eva dvijāgryāṇāṃ | Manu_3.35a
adbhir eva viśudhyati | Manu_5.112b
adbhir gātrāṇi śudhyanti | Manu_5.109a
adbhir gātrāṇi śudhyanti | ViS_22.92a
adbhir mūlaphalena vā | Manu_3.267b
adbhir mūlaphalena vā | Manu_4.29b
adbhis tīrthena dharmavit | Manu_2.61b
adbhis tu prakṛtisthābhir | YajñS_1.20c
adbhis tu prokṣaṇaṃ śaucaṃ | Manu_5.118a
adbhyo gandhaguṇā bhūmir | Manu_1.78c
adbhyo 'gnir brahmataḥ kṣatram | Manu_9.321a
adyāc caitad akutsayan | Manu_2.54b
adyāt kākaḥ puroḍāśaṃ | Manu_7.21a
adyāt samyak sutārthinī | Manu_3.262d
adyān mantrair viṣāpahaiḥ | Manu_7.217d
adravyo bharaṇaṃ striyāḥ | YajñS_1.76d
adrirājo dharmadeśī | Ang_1.518c
adroheṇa ca bhūtānāṃ | Manu_4.148c
adroheṇaiva bhūtānām | Manu_4.2a
advāreṇa ca nātīyād | Manu_4.73a
advitīyā gatā caiva | ParS_10.32a
adveṣalobhā yad brūyus | BrhS_1.3.49c
adhaḥśayanam eva ca | NarS_v12.91b
adhaḥśayyāṃ guror hitam | Manu_2.108b
adhaḥśāyī jitendriyaḥ | ViS_46.24d
adhaḥśāyy analaṅkṛtaḥ | NarS_v5.09b
adhanasya hy aputrasya | NarS_v1.19a
adhanās traya evoktā | NarS_v5.39a
adhamaṃ yācamānāya | ParS_1.29c
adhamarṇavibhāvitam | BrhS_1.10.127d
adhamarṇād vibhāvitam | Manu_8.47d
adhamarṇārthasiddhyartham | Manu_8.47a
adhamarṇo 'rthasidhyartham | BrhS_1.10.127a
adhamān adhamāṃs tyajet | Manu_4.244d
adhamā madhyamāgryā ca | Manu_12.41c
adhamottamamadhyamāḥ | YajñS_2.155d
adhamottamamadhyānāṃ | Kāty_665a
adhamo bhāravāhaḥ syād | BrhS_1.15.12c
adhamo bhāravāhaḥ syād | NarS_v5.21c
adharmataḥ pravṛttaṃ tu | BrhS_1.1.99a
adharmataḥ pravṛttaṃ tu | Kāty_074a
adharmadaṇḍanaṃ loke | Manu_8.127a
adharmadaṇḍanaṃ svarga | YajñS_1.357a
adharmadaṇḍasāhasaṃ | YamS-s_2.14b
adharmaniyamāya ca | Manu_8.122d
adharmaprabhavaṃ caiva | Manu_6.64a
adharmād api ṣaḍbhāgo | Manu_8.304c
adharmāya yadā rājā | Kāty_078a
adharmeṇa ca yaḥ prāha | Manu_2.111a
adharmeṇa ca yaḥ prāha | ViS_29.7a
adharmeṇaidhate tāvat | Manu_4.174a
adharme tu sa hīyate | BrhS_1.8.91d
adharme saṃgṛhīte tu | BrhS_1.8.85c
adharmo nṛpater dṛṣṭo | Manu_9.249c
adharmo vidyate bhuvi | Manu_8.381b
adharmo 'sitapuṣpadhṛt | BrhS_1.8.87b
adhastād aśnatā tathā | YajñS_1.106b
adhastān nopadadhyāc ca | Manu_4.54a
adhārmikaṃ taskaraṃ ca | Manu_4.133c
adhārmikaṃ tribhir nyāyair | Manu_8.310a
adhārmikāṃs tribhir nyāyair | BrhS_1.29.6a
adhārmikānāṃ pāpānām | Manu_4.171c
adhārmiko naro yo hi | Manu_4.170a
adhiṃ yaḥ karma kārayet | Kāty_525b
adhikaṃ labdhum arhati | BrhS_1.26.19d
adhikaṃ vāpi vidyeta | Manu_11.7c
adhikasya ca bhāgau dvau | YamS-182v_5.23a
adhikāc chātayed arthān | BrhS_1.2.28c
adhikān śodhayed arthān | Kāty_130a
adhikāracyutaṃ ca yat | Kāty_944b
adhikāraprabhedena | Ang_1.288a
adhikāritvasidhyarthaṃ | Ang_1.116a
adhikāro na cānyasya | Ang_1.161a
adhikāro 'bhiyuktasya | Kāty_090a
adhikāro militayor | Ang_1.384a
adhikā vandanīyāśca | Ang_1.230a
adhikāśamatṛptaṃ ca | Ang_1.751a
adhikā saṃprakalpitā | BrhS_1.10.12b
adhikā saṃprakalpitā | Kāty_498b
adhiko draviṇādhike | BrhS_1.24.11d
adhikriyata ity ādhiḥ | NarS_v1.108a
adhigacched yadi svayam | Manu_9.91b
adhitiṣṭhen na keśāṃs tu | Manu_4.78a
adhiyajñaṃ brahma japed | Manu_6.83a
adhivinnastriyai dadyād | YajñS_2.148a
adhivinnā tu bhartavyā | YajñS_1.74a
adhivinnā tu yā nārī | Manu_9.83a
adhiṣṭhātā ṛṇaṃ dāpyas | BrhS_1.10.119c
adhiṣṭhātā ṛṇaṃ dāpyas | Kāty_568c
adhītañ ca dvijādibhiḥ | YamS-s_2.28b
adhītavedo japakṛt | YajñS_3.57a
adhītasya ca nāśanam | YajñS_3.228d
adhītya cānuvartante | Manu_6.93c
adhītya vidhivad vedān | Manu_6.36a
adhīyānasya nityaśaḥ | ParS_12.34b
adhīyānād avāpnuyāt | Manu_2.116b
adhīyāno vivarjayet | Manu_4.101b
adhīyīraṃs trayo varṇāḥ | Manu_10.1a
adhīṣva bho iti brūyād | Manu_2.73c
adhairyaṃ ca malāvaham | Manu_11.70d
adhodṛṣṭir naikṛtikaḥ | ViS_93.9a
adhodṛṣṭir naiṣkṛtikaḥ | Manu_4.196a
adhobhuvanavartinam | ViS_1.37d
adhyakṣaḥ sabhyasahitaḥ | BrhS_1.5.17c
adhyakṣān kuśalān śucīn | YajñS_1.322b
adhyakṣān vividhān kuryāt | Manu_7.81a
adhyagnyadhyāvahanikaṃ | NarS_v13.8a
adhyagnyadhyāvāhanikaṃ | Kāty_894a
adhyagnyadhyāvāhanikaṃ | Manu_9.194a
adhyātmaratir āsīno | Manu_6.49a
adhyāpanaṃ yājanaṃ ca | Manu_10.77c
adhyāpanaṃ ca kurvāṇaḥ | Manu_4.101c
adhyāpanam adhyayanaṃ | Manu_1.88a
adhyāpanam adhyayanaṃ | Manu_10.75a
adhyāpanaṃ brahmayajñaḥ | Manu_3.70a
adhyāpayan gurusuto | Manu_2.208c
adhyāpayām āsa pitṝn | Manu_2.151a
adhyāpyā dharmataḥ sādhu | YajñS_1.28c
adhyāyajñāḥ pracakṣate | Manu_4.102d
adhyāyānām upākarma | YajñS_1.142a
adhyāvahanikaṃ caiva | Kāty_896c
adhyāsanāt samārabhya | BrhS_1.7.28a
adhyetavyaṃ dhāraṇīyaṃ | ViS_100.3a
adhyetavyaṃ prayatnataḥ | Manu_1.103b
adhyetavyaṃ prayatnena | ParS_12.82c
adhyetavyo 'py ekadeśo | ParS_12.33c
adhyeṣyamāṇaṃ tu gurur | Manu_2.73a
adhyeṣyamāṇas tv ācānto | Manu_2.70a
adhvagaṃ sārvavedasam | Manu_11.1b
adhvagaḥ kṣīṇavṛttiśca | Ang_2.9.9c
adhvanīno 'tithir jñeyaḥ | YajñS_1.111a
adhvānaṃ vā prayātasya | Ang_2.9.10c
adhvānaṃ naiva gacchati | ParS_9.51b
anaṃśau klībapatitau | Manu_9.201a
anakhasparśagocare | BrhS_1.8.75b
anagnam amṛtaṃ caiva | YajñS_1.106c
anagniko na putrī syād | Ang_1.320a
anagnir aniketaḥ syād | Manu_6.43a
anagnir aniketaḥ syān | Manu_6.25c
anaḍutsahitāṃ gāṃ ca | ParS_4.6c
anaḍutsahitāṃ gāṃ ca | ParS_12.76a
anaḍuhaḥ śriyaṃ puṣṭāṃ | Manu_4.231c
anaḍvān yoktrayantritaḥ | ParS_9.30b
anadann annam ahnaiva | Manu_5.102c
anadeyās tu te sarve | BrhS_1.2.32c
anadhītya dvijo vedān | Manu_6.37a
anadhyāyam aharniśam | Manu_4.126d
anadhyāyavaṣaṭkṛtam | Manu_2.106d
anadhyāyān ṛtāv api | Manu_4.105d
anadhyāyo rudyamāne | Manu_4.108c
anadhyāyau prayatnataḥ | Manu_4.127b
anantaṃ vedapārage | Manu_7.85d
anantaṃ sukham aśnute | Manu_4.149d
anantaṃ tv agnihotriṇi | BrhS_1.14.12b
anantaṃ nātra saṃśayaḥ | YamS-182v_3.43f
anantaṃ brahmavādini | BrhS_1.14.12d
anantaraṃ viprabhukteḥ | Ang_1.1096a
anantaraḥ sapiṇḍād yas | Brh_1.26.110a
anantaraḥ sapiṇḍād yas | Manu_9.187a
anantaraḥ smṛtaḥ putraḥ | NarS_v12.104a
anantaraḥ smṛtaḥ sūto | NarS_v12.114a
anantaram ariṃ vidyād | Manu_7.158a
anantarāsu jātānāṃ | Manu_10.7a
anantā raśmayas tasya | YajñS_3.166a
anantāś ca yathā bhāvāḥ | YajñS_3.132a
ananyapūrvikāṃ kāntām | YajñS_1.52c
ananyaviṣayaṃ kṛtvā | YajñS_3.111a
anapatyasya dharmo 'yam | BrhS_1.26.108c
anapatyasya putrasya | BrhS_1.26.135a
anapatyasya putrasya | Manu_9.217a
anapatyasya śuśrūṣur | BrhS_1.26.125a
anapākṛtya mokṣaṃ tu | Manu_6.35c
anapekṣitamaryādaṃ | Manu_8.309a
anabhikhyātadoṣas tu | YajñS_3.300c
anabhijño jito mocyo | Kāty_941a
anabhyarcya pitṝn devāṃs | Manu_5.52c
anabhyarcya pitṝn devān | ViS_51.75c
anabhyasūyā ca tathā | ViS_2.17c
anabhyāsena vedānām | Manu_5.4a
anayan bhāṭayitvā tu | NarS_v6.8a
anayan vāhako 'py evaṃ | NarS_v6.9a
anayaivāvṛtā kāryaṃ | Manu_3.248c
anargheṇoparundhatām | YajñS_2.250b
anarcayitvā yo bhuṅkte | YamS-182v_3.25c
anarcitaṃ vṛthāmāṃsaṃ | YajñS_1.167a
anarcitaṃ vṛthāmāṃsam | Manu_4.213a
anarthaśīlāṃ satataṃ | NarS_v12.93a
anarthitairanāhutair | Ang_2.7.5a
anarhaḥ sarvakarmasu | Ang_1.54d
anarhān manur abravīt | Manu_3.150d
analajvālayā śuddhir | ParS_6.75c
analaprabhavaṃ bhṛgum | Manu_5.1d
anavasthā ca jāyate | BrhS_1.6.46d
anavasthāprasaṅgaḥ syān | BrhS_1.1.37c
anavāptaṃ yad āpnuyāt | Manu_9.209b
anavāptaṃ yad āpnuyāt | ViS_18.43b
anaśvarāṇi dravyāṇi | BrhS_1.19.8a
anasthnāṃ caiva hiṃsāyāṃ | Manu_11.141c
anashthnāṃ caiva hiṃsāyāṃ | ViS_50.47c
anākāritam apy ūrdhvaṃ | NarS_v1.96c
anākālabhṛtas tadvad | NarS_v5.24c
anākālabhṛto dāsyān | Kāty_731c
anākālabhṛto dāsyān | NarS_v5.29a
anākṣāritapūrvo yas tv | Kāty_804c
anākṣepaḥ parebhyaś ca | NarS_v18.35c
anākhyātaṃ vyavahitam | BrhS_1.11.2a
anākhyāya dadad doṣaṃ | YajñS_1.66a
anākhyāya prayacchati | NarS_v12.33b
anākhyāya prayacchati | Manu_8.224b
anākhyāyopapādayet | Manu_9.73b
anāgamaṃ bhujyate yan | NarS_v1.77a
anāgamaṃ bhujyamānaṃ | NarS_v1.75c
anācarann akāryāṇi | Manu_10.98c
anācchedām anāhāryaṃ | BrhS_1.6.12c
anācchedyakarās teṣāṃ | BrhS_1.17.3a
anācchedyam anāhāryaṃ | BrhS_1.6.22a
anācchedyāḥ karās tebhyaḥ | BrhS_1.1.31a
anācchedyās tatas tu sā | BrhS_1.26.39d
anāturaḥ saptarātram | Manu_2.187c
anāturaḥ saptarātram | ViS_28.52c
anāturaḥ svāni khāni | Manu_4.144a
anāthapretasaṃskārād | Ang_1.141a
anāthaṃ brāhmaṇaṃ pretaṃ | ParS_3.39a
anāthās te tu nirdiṣṭās | Kāty_962c
anādir ātmā kathitas | YajñS_3.117a
anādir ātmā saṃbhūtir | YajñS_3.125a
anādir ādimāṃś caiva | YajñS_3.183a
anādiś cāpy anantaś ca | NarS_v18.13a
anādiṣṭasya caiva hi | YajñS_3.305d
anādiṣṭeṣu pāpeṣu | YajñS_3.326a
anādṛtās tu yasyaite | Manu_2.234c
anādṛtyās tu yasyaite | ViS_31.9c
anādeyaṃ nādadīta | Manu_8.170a
anādeyasya cādānād | Manu_8.171a
anādeyo bhaved vādo | BrhS_1.1.135c
anāder ādim icchataḥ | YajñS_3.74d
anāpatsu caredbhaikṣyaṃ | Ang_2.9.6c
anāpadisthaḥ śaktaḥ san | Kāty_729c
anāpṛcchya tu gṛhṇāno | BrhS_1.22.25c
anāmnātāni kāryāṇi | BrhS_1.29.14c
anāmnā tāni kāryāṇi | Kāty_951a
anāmnāteṣu dharmeṣu | Manu_12.108a
anāmnāyaprakalpitam | NarS_v10.7b
anāyavyayatas tathā | NarS_v14.17d
anārogyam anāyuṣyam | Manu_2.57a
anāryatā niṣṭhuratā | Manu_10.58a
anāryam āryakarmāṇam | Manu_10.73a
anāryān āryaliṅginaḥ | Manu_9.260d
anāryāyāṃ samutpanno | Manu_10.66a
anārya iti niścayaḥ | Manu_10.67d
anāviṣkṛtapāpāṃs tu | Manu_11.226c
anāvṛte cet tannāśe | NarS_v11.35c
anāvedya tu yo rājñe | NarS_m1.40a
anāvedya tu rājñe yaḥ | BrhS_1.10.101a
anāśakānalāghāta | YajñS_3.154c
anāhitāgnayo ye 'nye | ParS_8.12a
anāhitāgnitāpaṇya | YajñS_3.234c
anāhitāgnitā steyam | Manu_11.65a
anāhitāgnir bhavati | Manu_11.38c
anāhitāgnir varteta | YamS-78v_48c
aniketo nimigrīvo | Ang_1.519a
anikṣeptāram eva ca | Manu_8.190b
anigrahāc cendriyāṇāṃ | YajñS_3.219c
anicchataḥ prābhavatyād | Manu_8.412c
anicchantaṃ ca dāpayet | Kāty_504d
anicchantī tu yā bhuktā | BrhS_1.24.18a
anicchantyā yat kriyate | BrhS_1.24.3a
anicchann api cāharet | BrhS_1.10.33d
anityaṃ hi sthito yasmāt | Manu_3.102c
anityaṃ hi sthito yasmāt | ViS_67.34c
anityam āgato yasmāt | ParS_1.42c
anityo vijayo yasmād | Manu_7.199a
anidhāyaiva tad dravyam | Manu_5.143c
anidhāyaiva tad dravyam | ViS_23.55c
aninditaiḥ strīvivāhair | Manu_3.42a
anindyā bhavati prajā | Manu_3.42b
anindyāmantraṇād ṛte | YajñS_1.112b
anindyeṣu vivāheṣu | YajñS_1.90c
anindyeṣv ātmavṛttaye | YajñS_1.29d
anipāte tv anāśinau | Manu_8.185d
anibaddhapralāpī ca | YajñS_3.135c
aniyamyāṃśakartṝṇāṃ | Kāty_637c
aniyuktaḥ pravartate | BrhS_1.1.171b
aniyuktas tu kāryārtham | Kāty_653a
aniyuktāṃ ca bandhubhiḥ | NarS_v12.82d
aniyuktā tu yā nārī | NarS_v12.83a
aniyuktāsutaś caiva | Manu_9.143a
aniyukto bhrātṛjāyāṃ | YajñS_3.287a
aniruddho yathākālaṃ | Kāty_755c
anirgate daśāhe tu | BrhS_1.10.49e
anirṇīte tu yady arthe | Kāty_070a
anirṇīte vivāde tu | BrhS_1.3.32a
anirṇīteṣu yady evaṃ | BrhS_1.1.102a
anirdaśaṃ ca pretānnam | Manu_4.217c
anirdaśāyā goḥ kṣīram | Manu_5.8a
anirdaśāhāṃ gāṃ sūtāṃ | Manu_8.242a
anirdiṣṭaṃ ca tad bhavet | Kāty_520d
anirdiṣṭaṃ ca nirdiṣṭaṃ | BrhS_1.10.47a
anirdiṣṭaṃ ca nirdiṣṭam | Kāty_519a
anirdiṣṭaṃ tu vijñeyaṃ | Kāty_491c
anirdiṣṭas tu sākṣitve | NarS_v1.143a
anirdiṣṭasvarūpakam | Kāty_520b
anirdiṣṭāṃś caikaśaphāṃṣ | Manu_5.11c
anirdiṣṭo vāryamāṇaḥ | BrhS_1.13.9a
anirdeśaś ca deśasya | Kāty_248a
anirdeśyaparīmāṇam | ViS_1.40a
anirdeśyarddhisaṃyutam | ViS_1.40b
anirvācyo 'khilaiḥ śāstrair | Ang_1.702c
anirvṛtaṃ niyogārthaṃ | Manu_9.61c
anilo mārutas tathā | BrhS_1.8.27d
anivārayatāṃ teṣāṃ | ParS_9.47c
anivṛtte sapiṇḍatve | BrhS_1.7.43c
aniveditavijñāto | YajñS_2.35c
anivedya nṛpe daṇḍyaḥ | YajñS_2.172c
anivedya nṛpe śudhyet | YajñS_3.258a
aniścitya bhṛtiṃ yas tu | YajñS_2.194c
aniṣiddhena yad bhuktaṃ | BrhS_1.7.55a
aniṣeddhākṣamo yaḥ syāt | Kāty_834a
aniṣṭaṃ cāpy aniṣṭeṣu | Manu_7.13c
aniṣṭaiḥ saṃprayujyate | YajñS_3.129d
aniṣṭoktau guṇānvitāḥ | Kāty_746b
aniṣṭvā ca hutāśanaṃ | YamS-s_2.33b
aniṣṭvā caiva yajñaiś ca | Manu_6.37c
anisṛṣṭaṃ praveśayet | Kāty_527b
anīśaḥ pūrvajaḥ pitrye | Brh_1.26.55a
anīśāḥ pūrvajāḥ smṛtāḥ | BrhS_1.26.56d
anīśāḥ strīdhanasyoktā | Kāty_915c
anīśās te hi jīvatoḥ | Manu_9.104d
anīhamānāḥ satatam | Manu_4.22c
anukalpas tv ayaṃ jñeyaḥ | Manu_3.147c
anukuryād anubrūyād | Kāty_768c
anukūlām avāgduṣṭāṃ | NarS_v12.95a
anuktaṃ sādhu kalpitam | Kāty_953d
anuktaniṣkṛtīnāṃ tu | Manu_11.209a
anuktaniṣkṛtīnāṃ tu | ViS_54.34a
anuktamantrapaṭhanāt | Ang_1.806c
anuktamantraiḥ kāścittu | Ang_1.803a
anuktam etan manyante | Kāty_181c
anuktābādhakaṃ na tu | Ang_1.800d
anuktvā kāraṇaṃ yatra | BrhS_1.3.14a
anukramāt trayasyāsya | NarS_v12.14c
anugacchantu devatāḥ | Ang_1.894d
anugacchettayoḥ śrāddhaṃ | Ang_1.993c
anugacchen nīyamānaṃ | ParS_3.45c
anugamyāmbhasi snātvā | YajñS_3.26c
anugamyecchayā pretaṃ | Manu_5.103a
anugamyecchayā pretaṃ | ParS_3.42a
anugṛhṇāti dānena | NarS_v18.29c
anugrahaṃ tu vakṣyāmi | Ang_2.8.4c
anugrāhyo hy ahaṃ tava | ParS_1.12b
anucchiṣṭena śūdreṇa | ParS_7.21c
anucchiṣṭena saṃspṛṣṭe | YamS-78v_42a
anucchiṣṭena saṃspṛṣṭe | YamS-99v_15a
anujñayā tasya varaṃ | NarS_v12.22c
anujñātas tato dvijaiḥ | Manu_3.253d
anujñātas tu kurvīta | ParS_4.29c
anujñāpya ca parṣadam | Ang_2.7.6b
anutādā puṃ | YamS-182v_4.28a
anutāparatasya ca | YamS-182v_4.40b
anutiṣṭhan samāhitaḥ | Manu_6.94b
anutiṣṭhan hi mānavaḥ | Manu_2.9b
anuttīrṇāś ca nāsedhyā | Kāty_108c
anutpannaprajāyās tu | NarS_v12.79a
anutpādya tathā sutān | Manu_6.37b
anutsāritanirṇikte | NarS_m2.42c
anutsṛṣṭā hi lokasya | YamS-s_2.19c
anudvegakaraṃ sthiram | Kāty_064b
anudvegakarā nṝṇāṃ | Manu_2.47c
anupaghnan pitṛdravyaṃ | Manu_9.208a
anupaghnan pitṛdravyaṃ | ViS_18.42a
anupasthānam eva ca | BrhS_1.3.36b
anupasthāpayaṃs tathā | NarS_v1.105d
anupasthāpayan mūlaṃ | Kāty_619a
anupākṛtamāṃsāni | Manu_5.7c
anupākṛtamāṃsāni | YajñS_1.171c
anupātakinas tv ete | ViS_36.8a
anupeto 'pyasau yadyapy | Ang_1.430c
anubadhnāti yaḥ punaḥ | NarS_v15-16.11b
anubandhaṃ parijñāya | Manu_8.126a
anubhāvī tu yaḥ kaś cit | Manu_8.69a
anubhūtaṃ tu yad bhavet | Kāty_346b
anubhūya ca duḥkhās | NarS_v1.200a
anubhūya pumān striyam | NarS_v6.20d
anubhūya suduḥkhitāḥ | ViS_43.45b
anumantā viśasitā | Manu_5.51a
anumantā viśasitā | ViS_51.74a
anumanyeta tat tathā | NarS_v10.3d
anumānaṃ vasaty atra | BrhS_1.7.35a
